name,account,gang
Larry Collins,@tchlrn716@mastodon.world,"Climate Change, Geoscience Education ResearchÔøΩ"
Aster Cowart,@TerraSabaea@mastodon.social,"Planetary Science, Martian geology, remote sensing, image processing"
Tessa Hill,@Tessa_M_Hill@mastodon.social,"climate change, oceanography, biogeochemistry"
Gavin Foster,@TheFosterLab@mas.to,geochemistry 
Stephanie Flude,@TheNobleGasbag@mastodon.social,Noble Gas Geochemistry; Energy Transition; Scottish Geology
Tiegan Hobbs,@thobbsgeo@ohai.social,"Earthquakes, seismic hazard, seismic risk, active tectonics, geophysics, geodesy, seismology"
Thomas Hegna,@Thomashegna@ecoevo.social,Invertebrate Paleontology
Till Kuhlbrodt,@tillku@mastodon.sdf.org,"Earth System Science, Oceanography�"
Eva Pfannerstill ,@tilvi@mastodon.social,Atmospheric chemistry
Tim Dawson,@timblor@scicomm.xyz,"Earthquakes, paleoseismology, active tectonics"
Tim Holt-Wilson,@timholtwilson@mastodon.green,Quaternary geology and geomorphology
E.F.- Lalo- Guerrero,@tlalolinillotl@mstdn.science,"Tectonic Geomorphology, Quaternary Stratigraphy, Sedimentology, Geoscience Education"
Tobias Staal,@Toby@fediscience.org,"Polar geophysics, geothermal heat, sedimentology"
Adam Forte,@TopoForte@scicomm.xyz,Tectonic Geomorphology
Wolfgang Schwanghart,@topotoolbox@mastodon.green,"Geomorphology, terrain analysis, Quaternary, geohazards"
Tripti Bhattacharya,@triptychphrases@qoto.org,"Climate science, monsoons, organic geochemistry "
Jessica Ball,@Tuff_Cookie@fediverse.org,"Volcanology, volcanic hazards, hazard, assessment, science communication, user-centered design"
Urban Geology ,@urbangeology@mastodon.online,"geology, urban geology, fossils"
Tiziana Gelmi Candusso,@urbanzoochory@ecoevo.social,"Ecology, spatial modeling, machine learning, urban ecology"
Faye McNeill,@vfmcneill@airpollution.science,"Atmospheric Chemistry, Air Pollution"
Vicky,@vickyveritas@c.im,"tectonics, structural geology, metamorphic rocks, geomorphology, climate science, seismology,"
John A Stevenson,@volcan01010@fosstodon.org,"volcanology, scientific computing"
Diana Roman,@volcano_diana@fediscience.org,"Volcanology, Volcano Seismology, SZ4D Initiative"
Jenni Barclay (VolcanoJenni),@volcanojenni@fediscience.org,"Volcanology, hazards"
Rebecca Williams,@Volcanologist@mastodon.online,"Volcanology, Catastrophic Flows, Geohazards, EDI,Decolonise Earth Science"
Paul Voosen,@voooos@sciencemastodon.com,All of it
Yudi,@wahyudia@mastodon.social,"earthquakes, volcano, resources, lateritic ore, coal"
Dan Shugar,@watershedlab@fediscience.org,"geomorphology, geohazards, geomatics, Quaternary"
Dakota Smith,@weatherdak@mstdn.social,Meteorology + Satellite Imagery
Alan Kafka,@Weston_Quakes@scicomm.xyz,"Geophysics, Earthquake Science, and Community Science for Public Good"
Will Gray,@willerstorfi@fediscience.org,"Paleoclimate, Geochemistry"
John Schmelz,@wschmelz@fediscience.org,"Stratigraphy, stratigraphic modeling, coastal geomorphology"
World Stress Map Project,@wsmproject@mastodon.world,"Earth's Stresses, Geomechanics, Geophysics"
Steve Holbrook,@wstevenholbrook@home.social,"Critical zone science, seismology, near-surface geophysics "
Miles Reed,@wvgeomorph@fediscience.org,Geomorphology; Cosmogenic nuclides; Anthropogenic landscapes
Laura,@Xeno_lith@sfba.social,"Geoscience education, bio geochemical cycles, natural hazards"
Yamina Pressler,@yamina@mastodon.art,"soil science, ecology, science communication and education"
Nina,@yirara_bah@mstdn.socia,"sedimentology, industry geologist, random travel geology"
Yo Fukushima,@YoFukushima@mstdn.jp,"earthquakes, volcanoes, crustal deformation, natural hazards"
Henning,@zersorger@scicomm.xyz,"earthquakes, environment geology, hydrogeology"
Zack Labe,@ZLabe@fediscience.org,"Climate science, meteorology"
Zachary Ross,@zross@sciencemastodon.com,"earthquakes, seismology, geophysics"
Chris Widga,@zygoloph@mastodon.social,"Paleontology, paleoecology, geochemistry, geomprphology"
